                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50048,                 3.1531,                 1.0573,                0.47164,                0.74872,                0.67779,                0.62842,                0.24092,                 15.312,                0.80431,             0.00013332,             0.00013332,             0.00013332
                      2,                0.49733,                 1.9926,                0.96423,                0.65143,                0.97705,                0.88176,                0.76313,                0.46763,                 4.8423,                0.91401,               0.000275,               0.000275,               0.000275
                      3,                0.54911,                   1.49,                0.95134,                 0.6309,                      1,                 0.9735,                0.90623,                0.33377,                 3.4519,                0.81843,             0.00041382,             0.00041382,             0.00041382
                      4,                0.54279,                 1.3501,                0.95267,                0.64624,                0.82872,                0.95682,                0.87828,                0.51871,                 3.2233,                 0.8919,             0.00054978,             0.00054978,             0.00054978
                      5,                0.65212,                 1.2196,                 1.0119,                 0.6013,                0.75641,                0.75803,                0.62736,                0.63238,                 2.5597,                0.99179,             0.00068288,             0.00068288,             0.00068288
                      6,                0.64767,                 1.2161,                0.98053,                 0.7056,                0.75378,                0.63236,                0.47623,                0.73431,                 10.775,                 1.1885,             0.00081312,             0.00081312,             0.00081312
                      7,                0.60667,                 1.1678,                0.97009,                0.43872,                0.68974,                0.63829,                0.42293,                0.73388,                 5.2828,                 1.1221,             0.00094051,             0.00094051,             0.00094051
                      8,                0.73692,                 1.3417,                  1.057,                0.33812,                 0.1359,                0.00248,                0.00217,                0.90505,                    inf,                  1.328,               0.001034,               0.001034,               0.001034
                      9,                0.73275,                 1.4769,                 1.0507,                  6e-05,                0.03333,                  3e-05,                  2e-05,                 2.4377,                    inf,                 9.1889,               0.001034,               0.001034,               0.001034
                     10,                0.69806,                 1.2021,                 1.0267,                0.29899,                0.15897,                0.03658,                0.00622,                 1.9582,                 259.39,                 4.2828,               0.001023,               0.001023,               0.001023
                     11,                0.69988,                 1.2838,                 1.0486,                0.00027,                0.10256,                0.00032,                  7e-05,                 4.0044,                    inf,                 58.607,               0.001012,               0.001012,               0.001012
                     12,                0.70365,                 1.2122,                 1.0612,                0.00502,                0.43846,                0.00444,                0.00325,                 2.5942,                   1063,                 3.8382,               0.001001,               0.001001,               0.001001
                     13,                0.67688,                 1.0286,                 1.0532,                0.00354,                0.57949,                0.00268,                0.00208,                 2.1338,                    inf,                 9.9021,             0.00099001,             0.00099001,             0.00099001
                     14,                0.65795,                      1,                 1.0479,                0.00306,                0.57949,                0.00321,                0.00179,                 2.2334,                    inf,                 29.794,             0.00097901,             0.00097901,             0.00097901
                     15,                0.65345,                0.92635,                 1.0452,                0.08194,                0.38718,                0.12815,                0.09475,                 1.2236,                 375.76,                  3.535,             0.00096801,             0.00096801,             0.00096801
                     16,                0.66617,                0.96346,                 1.0353,                0.30674,                0.32821,                0.13065,                0.09723,                 1.6582,                 10.614,                 2.8634,             0.00095702,             0.00095702,             0.00095702
                     17,                0.63043,                0.90446,                0.99689,                0.13371,                0.32821,                0.15394,                0.13673,                0.67028,                 6.6659,                 1.1129,             0.00094602,             0.00094602,             0.00094602
                     18,                0.61345,                0.75745,                 1.0122,                0.82745,                0.57949,                0.65895,                0.58751,                0.54957,                 1.9037,                 0.9758,             0.00093502,             0.00093502,             0.00093502
                     19,                0.64969,                 0.8591,                 1.0211,                0.72591,                0.62434,                0.63797,                0.55916,                 0.5472,                  1.427,                0.92538,             0.00092402,             0.00092402,             0.00092402
                     20,                0.61829,                0.74181,                 1.0309,                0.27359,                0.47949,                0.32148,                0.19509,                0.78767,                 2.2206,                 1.0833,             0.00091302,             0.00091302,             0.00091302
                     21,                0.57294,                0.70933,                  1.007,                 0.3906,                0.44615,                0.41275,                0.33151,                0.65148,                 2.0084,                 1.0179,             0.00090202,             0.00090202,             0.00090202
                     22,                0.60267,                0.73085,                 1.0077,                0.65968,                 0.9169,                0.87124,                0.73089,                0.62978,                 1.4802,                 1.0621,             0.00089102,             0.00089102,             0.00089102
                     23,                0.59154,                0.75192,                 1.0124,                0.82946,                0.91538,                0.88681,                 0.7375,                0.73108,                 1.1476,                 1.1124,             0.00088002,             0.00088002,             0.00088002
                     24,                 0.5777,                0.77706,                 1.0083,                0.79316,                0.71863,                0.79464,                0.65998,                0.97404,                 1.1731,                 1.4037,             0.00086902,             0.00086902,             0.00086902
                     25,                0.56437,                0.71624,                0.98685,                0.87332,                0.82435,                0.94461,                0.84525,                0.47309,                0.91707,                 0.8774,             0.00085803,             0.00085803,             0.00085803
                     26,                0.58078,                0.72791,                0.99595,                0.89917,                0.83761,                0.95932,                0.88074,                0.41723,                0.75452,                0.84346,             0.00084703,             0.00084703,             0.00084703
                     27,                0.63638,                 0.8312,                  1.019,                0.88417,                0.87914,                0.92937,                0.85672,                0.35614,                0.93908,                0.82609,             0.00083603,             0.00083603,             0.00083603
                     28,                 0.5934,                0.75709,                 1.0299,                0.92146,                0.80715,                  0.938,                0.86683,                0.44727,                0.83322,                0.88952,             0.00082503,             0.00082503,             0.00082503
                     29,                0.63882,                0.83636,                  1.089,                0.77634,                0.83564,                0.89756,                0.83718,                 0.3989,                0.79685,                0.88961,             0.00081403,             0.00081403,             0.00081403
                     30,                0.58487,                0.77946,                 1.0085,                0.85646,                0.71026,                0.88184,                0.77417,                0.65407,                 1.2628,                  1.122,             0.00080303,             0.00080303,             0.00080303
                     31,                0.57842,                0.72752,                 1.0186,                0.95047,                0.88974,                0.93758,                0.83804,                0.41475,                0.95066,                0.87429,             0.00079203,             0.00079203,             0.00079203
                     32,                0.55562,                0.69616,                0.99803,                0.91508,                 0.9058,                0.95438,                 0.8351,                0.48383,                 1.1183,                0.93436,             0.00078103,             0.00078103,             0.00078103
                     33,                0.55052,                0.61125,                0.96368,                0.84649,                0.86832,                0.89977,                0.78393,                0.52082,                  0.877,                0.96635,             0.00077003,             0.00077003,             0.00077003
                     34,                 0.5575,                0.60142,                 0.9838,                0.90452,                0.89044,                 0.9105,                0.79688,                0.52522,                 0.7946,                0.93247,             0.00075904,             0.00075904,             0.00075904
                     35,                0.57567,                0.71827,                 1.0276,                0.93256,                0.87179,                0.93829,                0.84087,                0.45014,                0.74941,                0.86762,             0.00074804,             0.00074804,             0.00074804
                     36,                0.52431,                0.64132,                0.96983,                0.96597,                0.92303,                0.94711,                0.87457,                0.42126,                0.61595,                 0.8712,             0.00073704,             0.00073704,             0.00073704
                     37,                0.50373,                 0.5833,                0.93627,                0.92213,                0.92308,                0.96449,                0.86748,                0.43671,                0.61345,                0.88303,             0.00072604,             0.00072604,             0.00072604
                     38,                0.50968,                0.63975,                0.97777,                0.85701,                0.93655,                0.96488,                0.89429,                0.47154,                0.53189,                0.88783,             0.00071504,             0.00071504,             0.00071504
                     39,                0.52513,                0.64099,                0.97348,                0.92874,                0.94833,                0.98595,                0.92992,                0.42454,                0.47318,                0.85903,             0.00070404,             0.00070404,             0.00070404
                     40,                 0.4636,                0.54028,                 0.9404,                0.93863,                0.95216,                0.98786,                0.92546,                0.36143,                 0.4266,                0.83282,             0.00069304,             0.00069304,             0.00069304
                     41,                0.47969,                0.61131,                0.95766,                 0.9418,                 0.9283,                0.99333,                0.95868,                0.30415,                0.41997,                0.82168,             0.00068204,             0.00068204,             0.00068204
                     42,                0.49315,                0.52794,                0.95832,                0.94686,                 0.9361,                0.99333,                0.94162,                0.31334,                0.39266,                0.82176,             0.00067104,             0.00067104,             0.00067104
                     43,                0.50804,                0.54973,                0.98264,                0.92131,                0.93529,                0.98852,                0.93335,                0.38805,                 0.4483,                0.85685,             0.00066005,             0.00066005,             0.00066005
                     44,                0.50238,                0.58723,                0.95208,                0.89145,                0.90773,                0.97676,                0.88326,                 0.4697,                0.50665,                0.90477,             0.00064905,             0.00064905,             0.00064905
                     45,                0.50506,                  0.492,                0.98022,                0.80396,                0.92761,                0.97889,                0.91523,                0.37166,                 0.5154,                0.86176,             0.00063805,             0.00063805,             0.00063805
                     46,                0.48729,                  0.549,                0.95861,                0.90216,                0.91696,                0.97279,                0.88853,                0.36484,                0.43459,                0.85987,             0.00062705,             0.00062705,             0.00062705
                     47,                0.48925,                0.50307,                0.97027,                0.96152,                0.94872,                0.98647,                0.92209,                0.40081,                0.44739,                0.87845,             0.00061605,             0.00061605,             0.00061605
                     48,                0.46847,                0.54996,                0.94794,                0.90896,                0.95977,                0.98984,                0.90772,                0.39965,                0.43313,                0.88304,             0.00060505,             0.00060505,             0.00060505
                     49,                0.44951,                0.48788,                0.93443,                0.89522,                0.96271,                0.97963,                0.89932,                0.39419,                0.51745,                0.88591,             0.00059405,             0.00059405,             0.00059405
                     50,                0.43897,                0.55728,                0.94933,                0.85063,                 0.9683,                0.94756,                0.87693,                0.38925,                0.58823,                0.87877,             0.00058305,             0.00058305,             0.00058305
                     51,                0.44989,                0.57207,                0.93645,                0.78548,                0.93436,                0.91593,                0.84515,                0.35555,                0.68843,                0.85371,             0.00057205,             0.00057205,             0.00057205
                     52,                0.49394,                0.59727,                0.96533,                0.78213,                0.92207,                 0.9047,                0.85515,                0.38025,                0.59318,                0.86525,             0.00056105,             0.00056105,             0.00056105
                     53,                0.45559,                 0.5256,                0.95548,                0.80647,                0.89798,                0.92203,                0.86615,                0.39227,                0.54887,                 0.8669,             0.00055006,             0.00055006,             0.00055006
                     54,                0.42866,                0.49187,                0.91888,                0.84903,                0.90968,                0.91942,                0.87188,                0.40613,                0.56595,                0.86911,             0.00053906,             0.00053906,             0.00053906
                     55,                0.44225,                0.56651,                0.92108,                0.84228,                 0.9094,                0.92597,                0.88198,                0.36332,                0.53636,                0.84921,             0.00052806,             0.00052806,             0.00052806
                     56,                0.45733,                0.53032,                0.93562,                0.83351,                0.91507,                0.93319,                0.88651,                0.35893,                0.57861,                0.84336,             0.00051706,             0.00051706,             0.00051706
                     57,                0.41358,                0.45403,                0.88913,                0.85362,                0.91287,                0.93619,                 0.8893,                0.31752,                0.52093,                0.84411,             0.00050606,             0.00050606,             0.00050606
                     58,                0.42074,                0.46043,                 0.9243,                0.89483,                0.92308,                0.94686,                0.90894,                0.33885,                0.49492,                 0.8397,             0.00049506,             0.00049506,             0.00049506
                     59,                0.43498,                0.50663,                0.92408,                  0.917,                0.91264,                0.97696,                0.93419,                0.36534,                0.44457,                0.83483,             0.00048406,             0.00048406,             0.00048406
                     60,                0.41433,                0.47147,                0.90947,                0.90565,                 0.8956,                0.96972,                0.93353,                0.32016,                 0.4498,                0.83076,             0.00047306,             0.00047306,             0.00047306
                     61,                0.43448,                0.45684,                0.93305,                0.85816,                0.91509,                0.96485,                0.93401,                0.31891,                0.45438,                0.82708,             0.00046206,             0.00046206,             0.00046206
                     62,                0.41352,                0.44345,                0.93088,                0.80879,                0.92536,                0.97035,                0.93607,                0.33543,                0.45171,                0.82785,             0.00045107,             0.00045107,             0.00045107
                     63,                0.37161,                0.41925,                0.91628,                0.93712,                0.87296,                0.96733,                0.94382,                0.32462,                0.38151,                 0.8291,             0.00044007,             0.00044007,             0.00044007
                     64,                0.40045,                0.41351,                0.91244,                0.94384,                0.90243,                0.96541,                0.94312,                0.30704,                0.36755,                0.82283,             0.00042907,             0.00042907,             0.00042907
                     65,                0.38904,                0.44266,                0.91884,                0.91259,                0.90252,                0.95418,                0.92638,                0.29838,                0.39475,                0.82479,             0.00041807,             0.00041807,             0.00041807
                     66,                0.39951,                0.46285,                0.91017,                0.90364,                0.90097,                 0.9504,                0.91812,                 0.2968,                0.40846,                0.82179,             0.00040707,             0.00040707,             0.00040707
                     67,                0.39355,                0.46593,                0.91131,                0.87051,                0.90656,                 0.9731,                0.93796,                0.29671,                0.43425,                0.82098,             0.00039607,             0.00039607,             0.00039607
                     68,                0.40209,                 0.4509,                0.92662,                0.92296,                0.93593,                0.98234,                0.95912,                0.26121,                0.36884,                0.81261,             0.00038507,             0.00038507,             0.00038507
                     69,                0.39277,                 0.4607,                0.91237,                0.92025,                0.97436,                0.99333,                0.96307,                0.26569,                  0.357,                0.81324,             0.00037407,             0.00037407,             0.00037407
                     70,                0.37235,                0.45479,                0.91593,                0.92268,                0.96343,                0.99333,                0.96634,                0.27273,                0.34501,                0.81008,             0.00036307,             0.00036307,             0.00036307
                     71,                0.40287,                0.43142,                0.91172,                0.95306,                0.97524,                  0.995,                0.94391,                 0.3107,                0.38363,                0.82084,             0.00035208,             0.00035208,             0.00035208
                     72,                0.36801,                0.41101,                0.92112,                0.96668,                0.97442,                  0.995,                0.95434,                0.30544,                0.36402,                0.81855,             0.00034108,             0.00034108,             0.00034108
                     73,                0.33263,                0.40833,                0.90763,                 0.9064,                0.97938,                0.98944,                0.94978,                0.27812,                0.35531,                0.81192,             0.00033008,             0.00033008,             0.00033008
                     74,                0.36141,                 0.4273,                0.92082,                0.89801,                0.98359,                0.98944,                0.95128,                0.27574,                0.33386,                0.80703,             0.00031908,             0.00031908,             0.00031908
                     75,                0.36887,                0.38955,                0.90979,                0.93011,                0.99529,                0.99197,                0.96337,                0.25392,                 0.3048,                0.79992,             0.00030808,             0.00030808,             0.00030808
                     76,                 0.3631,                0.42366,                0.92537,                 0.9709,                0.98176,                  0.995,                0.96773,                0.25267,                0.26036,                 0.8031,             0.00029708,             0.00029708,             0.00029708
                     77,                0.35715,                0.39606,                0.92783,                0.96482,                0.99202,                  0.995,                0.97304,                0.24509,                0.25367,                0.80089,             0.00028608,             0.00028608,             0.00028608
                     78,                0.35547,                0.34745,                0.90659,                0.95392,                      1,                  0.995,                0.97433,                0.24133,                0.26844,                0.79874,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.3314,                0.33794,                 0.8888,                0.93497,                0.99184,                  0.995,                0.96666,                 0.2286,                0.29973,                0.79269,             0.00026408,             0.00026408,             0.00026408
                     80,                0.35089,                0.37434,                0.90496,                 0.9166,                 0.9777,                  0.995,                0.96921,                0.21957,                0.30352,                0.79013,             0.00025309,             0.00025309,             0.00025309
                     81,                0.33097,                0.33979,                0.89523,                0.92715,                0.95906,                  0.995,                0.97519,                0.22991,                0.32004,                0.79059,             0.00024209,             0.00024209,             0.00024209
