                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48315,                  2.988,                 1.0677,                0.32311,                0.53889,                0.47555,                0.45819,                0.28291,                 9.9306,                0.82583,             0.00013332,             0.00013332,             0.00013332
                      2,                0.48655,                 1.8633,                 1.0061,                0.60005,                0.72222,                0.75902,                0.67367,                0.42174,                 3.9395,                0.87244,               0.000275,               0.000275,               0.000275
                      3,                0.55126,                 1.5234,                 1.0167,                0.70936,                0.83916,                0.79421,                0.64782,                0.66002,                 3.6664,                 1.0358,             0.00041382,             0.00041382,             0.00041382
                      4,                0.57498,                 1.4585,                 1.0355,                0.52408,                0.59119,                0.57221,                0.49434,                0.59843,                 3.1044,                 1.0227,             0.00054978,             0.00054978,             0.00054978
                      5,                0.58591,                 1.3483,                 1.0471,                0.61889,                0.63089,                0.72196,                0.56749,                0.58731,                 2.8025,                0.95932,             0.00068288,             0.00068288,             0.00068288
                      6,                0.55996,                  1.144,                 1.0136,                0.41443,                0.57222,                0.41063,                0.26912,                 0.6786,                 5.6486,                 1.1321,             0.00081312,             0.00081312,             0.00081312
                      7,                0.57642,                 1.0394,                 1.0615,                 0.2032,                0.50062,                0.31176,                 0.2056,                0.77931,                 8.9348,                 1.1067,             0.00094051,             0.00094051,             0.00094051
                      8,                0.65754,                 1.2035,                 1.0883,                0.97143,                0.23333,                0.30492,                0.23556,                 1.1876,                 8.2073,                 1.6612,               0.001034,               0.001034,               0.001034
                      9,                0.59538,                  1.006,                 1.0371,                0.21967,                 0.5062,                0.35868,                0.28366,                   0.81,                 5.5404,                 1.2135,               0.001034,               0.001034,               0.001034
                     10,                0.65865,                  1.023,                 1.0663,                 0.4285,                 0.4071,                0.33639,                0.26693,                 1.7211,                 3.4951,                 2.0658,               0.001023,               0.001023,               0.001023
                     11,                0.72149,                  1.204,                 1.1157,                0.39021,                0.50556,                0.41654,                0.33804,                 1.2766,                 7.7221,                 1.5026,               0.001012,               0.001012,               0.001012
                     12,                0.73568,                 1.2168,                 1.1509,                0.34215,                0.63333,                0.59302,                0.48674,                 1.2763,                 8.1607,                 1.7857,               0.001001,               0.001001,               0.001001
                     13,                0.67715,                 1.0622,                 1.1057,                0.41931,                0.59496,                0.69006,                0.52722,                0.75927,                 4.4233,                 1.2051,             0.00099001,             0.00099001,             0.00099001
                     14,                0.61585,                0.90098,                 1.0876,                0.67816,                0.74667,                 0.8051,                0.63118,                0.78551,                 2.5921,                 1.3943,             0.00097901,             0.00097901,             0.00097901
                     15,                0.61955,                0.98097,                 1.0809,                0.29349,                0.36842,                0.25913,                0.19362,                 1.4357,                  33.02,                 2.1457,             0.00096801,             0.00096801,             0.00096801
                     16,                0.61868,                 1.0314,                 1.0799,                0.37392,                0.10556,                0.12606,                0.09665,                  1.379,                  27.07,                 2.1694,             0.00095702,             0.00095702,             0.00095702
                     17,                0.55309,                0.86815,                 1.0355,                0.35095,                0.56067,                0.41577,                 0.3163,                  1.354,                 2.3157,                  1.568,             0.00094602,             0.00094602,             0.00094602
                     18,                0.57393,                0.74584,                 1.0606,                0.50799,                0.80629,                0.68054,                0.54092,                 1.0008,                 3.6157,                 1.3184,             0.00093502,             0.00093502,             0.00093502
                     19,                0.66684,                0.89435,                   1.11,                0.72136,                0.77974,                0.87393,                0.70219,                0.81694,                 2.1856,                 1.1371,             0.00092402,             0.00092402,             0.00092402
                     20,                 0.6713,                0.78181,                 1.1353,                0.72771,                0.86015,                0.87181,                0.70462,                 0.6931,                 1.4715,                 1.1519,             0.00091302,             0.00091302,             0.00091302
                     21,                 0.6162,                0.73654,                 1.0745,                0.79894,                0.72189,                0.83438,                0.72783,                0.58985,                 1.1065,                 1.0413,             0.00090202,             0.00090202,             0.00090202
                     22,                0.62719,                0.71816,                 1.0697,                0.82505,                0.77752,                 0.8103,                0.72683,                0.55435,                 1.3052,                 1.0374,             0.00089102,             0.00089102,             0.00089102
                     23,                 0.5296,                0.69692,                 1.0251,                0.94372,                0.85436,                0.97795,                0.86928,                0.48741,                 1.1344,                0.95431,             0.00088002,             0.00088002,             0.00088002
                     24,                0.56407,                 0.6608,                 1.0485,                 0.8788,                0.85627,                 0.9425,                0.83552,                0.57875,                 1.0804,                 0.9759,             0.00086902,             0.00086902,             0.00086902
                     25,                0.57535,                0.67903,                 1.0458,                0.87469,                0.79706,                0.88386,                  0.791,                0.49684,                 1.0112,                0.91738,             0.00085803,             0.00085803,             0.00085803
                     26,                0.57359,                  0.647,                 1.0331,                0.82342,                0.75058,                0.84219,                0.76773,                0.46888,                0.87927,                0.89318,             0.00084703,             0.00084703,             0.00084703
                     27,                0.58038,                 0.7519,                 1.0446,                0.90555,                0.87485,                 0.9159,                0.80837,                0.54948,                0.87387,                0.95387,             0.00083603,             0.00083603,             0.00083603
                     28,                0.58376,                0.69236,                 1.0527,                 0.7302,                 0.8632,                0.89797,                0.77515,                0.79793,                 1.4554,                 1.2634,             0.00082503,             0.00082503,             0.00082503
                     29,                0.57005,                0.63112,                 1.0725,                0.83956,                0.92188,                 0.9454,                0.83078,                0.57292,                 1.4249,                 1.0259,             0.00081403,             0.00081403,             0.00081403
                     30,                0.55835,                0.63758,                 1.0385,                0.75761,                0.92757,                0.91252,                0.81789,                0.47684,                 1.0721,                0.93077,             0.00080303,             0.00080303,             0.00080303
                     31,                0.56398,                0.66952,                 1.0432,                0.82743,                0.76795,                0.86169,                0.78806,                0.46076,                0.71713,                0.86373,             0.00079203,             0.00079203,             0.00079203
                     32,                0.51243,                0.65314,                 1.0033,                0.88668,                0.84175,                0.95333,                0.85499,                0.42718,                0.63109,                0.84443,             0.00078103,             0.00078103,             0.00078103
                     33,                0.51322,                0.55731,                0.98109,                  0.765,                0.97457,                 0.9728,                0.90846,                0.35267,                0.63039,                0.82339,             0.00077003,             0.00077003,             0.00077003
                     34,                0.51724,                0.59519,                 1.0276,                0.84423,                0.89871,                 0.9503,                0.87633,                0.37889,                0.65001,                0.83954,             0.00075904,             0.00075904,             0.00075904
                     35,                0.52053,                0.66338,                 1.0619,                0.78747,                0.77049,                0.77818,                0.71716,                0.42875,                 1.3091,                0.91444,             0.00074804,             0.00074804,             0.00074804
                     36,                0.48468,                0.66788,                0.99342,                0.84432,                0.79003,                0.88984,                0.81923,                0.61145,                0.86662,                0.94553,             0.00073704,             0.00073704,             0.00073704
                     37,                0.50143,                0.55212,                0.98721,                 0.8419,                0.85773,                0.91974,                0.84822,                0.50012,                 0.8862,                0.89879,             0.00072604,             0.00072604,             0.00072604
                     38,                0.51611,                0.57758,                 1.0043,                 0.8174,                   0.95,                0.90738,                0.84158,                0.40815,                 0.6523,                0.87595,             0.00071504,             0.00071504,             0.00071504
                     39,                0.49789,                 0.6149,                0.99274,                0.73294,                0.94716,                0.91357,                0.82258,                0.39911,                0.62417,                0.86027,             0.00070404,             0.00070404,             0.00070404
                     40,                0.48482,                0.59548,                0.97687,                0.83555,                 0.9092,                0.96167,                0.87397,                0.36601,                0.67082,                0.82917,             0.00069304,             0.00069304,             0.00069304
                     41,                 0.4811,                0.52325,                0.97707,                0.85232,                0.97096,                0.95224,                0.87062,                0.33206,                  0.744,                0.82288,             0.00068204,             0.00068204,             0.00068204
                     42,                0.50947,                0.54474,                 1.0054,                0.80494,                0.95994,                0.94537,                 0.8504,                0.41247,                0.79293,                0.85603,             0.00067104,             0.00067104,             0.00067104
                     43,                0.51792,                0.53131,                 1.0363,                0.92208,                0.95478,                 0.9728,                0.88139,                0.46985,                 0.6408,                0.86789,             0.00066005,             0.00066005,             0.00066005
