                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54023,                 3.8182,                 1.0498,                0.90642,                    0.8,                0.94558,                0.87747,                0.30558,                 11.769,                0.91747,              8.574e-05,              8.574e-05,              8.574e-05
                      2,                0.54868,                 2.3418,                 1.1005,                0.77809,                0.06667,                0.10467,                0.09455,                0.67603,                 11.141,                 1.2285,             0.00018393,             0.00018393,             0.00018393
                      3,                0.44381,                 1.4432,                0.94326,                0.10382,                0.33333,                0.07234,                0.02638,                 1.3492,                 8.0936,                 2.2606,             0.00028014,             0.00028014,             0.00028014
                      4,                0.55781,                 1.3741,                 1.0636,                0.00462,                    0.6,                0.05601,                0.03072,                 1.0837,                  6.884,                 1.7547,             0.00037437,             0.00037437,             0.00037437
                      5,                0.50959,                 1.1967,                 1.0056,                      1,                0.11502,                0.23141,                0.16588,                 1.0758,                 7.0831,                 1.5577,             0.00046662,             0.00046662,             0.00046662
                      6,                0.55481,                 1.1994,                 1.0257,                0.06358,                0.06667,                0.08234,                0.04756,                0.83087,                 4.2459,                 1.2686,             0.00055689,             0.00055689,             0.00055689
                      7,                0.59334,                 1.4391,                 1.0898,                0.29935,                    0.2,                0.19255,                0.12011,                 1.1317,                 4.8491,                 1.6313,             0.00064518,             0.00064518,             0.00064518
                      8,                0.60372,                 1.4586,                 1.0604,                0.44423,                0.33333,                0.33114,                  0.238,                  1.007,                 9.2939,                 1.6507,             0.00073148,             0.00073148,             0.00073148
                      9,                 0.7166,                 1.3937,                  1.145,                0.02662,                    0.6,                0.02837,                0.01888,                 1.1098,                 32.554,                 1.6806,             0.00081581,             0.00081581,             0.00081581
                     10,                0.61886,                 1.1131,                 1.0419,                0.39784,                0.46667,                0.39187,                0.20859,                 1.6035,                 15.711,                 2.2977,             0.00089816,             0.00089816,             0.00089816
                     11,                0.63609,                 1.1657,                  1.039,                0.23496,                0.73333,                0.54599,                0.23906,                 1.6154,                 38.969,                 2.9822,             0.00097852,             0.00097852,             0.00097852
                     12,                0.73931,                 1.1174,                 1.1198,                0.13636,                    0.2,                0.18092,                0.05097,                 2.2117,                 45.223,                 3.8015,              0.0010569,              0.0010569,              0.0010569
                     13,                0.64445,                  1.297,                 1.0391,                0.03519,                    0.6,                0.08004,                0.01589,                 2.9321,                 71.982,                 7.5745,              0.0011333,              0.0011333,              0.0011333
                     14,                0.64939,                 1.1196,                 1.0889,                0.03519,                    0.6,                0.08004,                0.01589,                 2.9321,                 71.982,                 7.5745,              0.0012077,              0.0012077,              0.0012077
                     15,                0.76587,                 1.2415,                 1.2346,                0.02229,                0.40583,                0.02535,                0.00661,                 2.8573,                  219.9,                  6.391,              0.0012309,              0.0012309,              0.0012309
                     16,                0.91599,                 1.4608,                 1.2966,                0.02844,                    0.4,                0.03377,                0.01062,                 2.9345,                 242.18,                 5.2613,              0.0012309,              0.0012309,              0.0012309
                     17,                 0.8318,                 1.3426,                 1.1986,                0.07799,                0.06667,                0.03146,                0.00836,                 3.2812,                 55.689,                 4.6065,              0.0012168,              0.0012168,              0.0012168
                     18,                0.94804,                 1.2779,                  1.306,                0.06311,                0.13333,                0.03498,                0.00997,                 2.5245,                 52.547,                 3.0103,              0.0012026,              0.0012026,              0.0012026
                     19,                 0.9311,                 1.2504,                 1.3823,                0.01607,                0.53333,                0.02483,                0.00766,                 2.4709,                 37.132,                 3.4016,              0.0011885,              0.0011885,              0.0011885
                     20,                0.78933,                 1.2283,                 1.1722,                0.30636,                0.26667,                0.17136,                0.07059,                 1.6432,                 18.019,                 2.3268,              0.0011744,              0.0011744,              0.0011744
                     21,                0.67276,                0.83133,                 1.1154,                0.04539,                0.33333,                0.03108,                0.00909,                  1.932,                 22.596,                 2.6965,              0.0011602,              0.0011602,              0.0011602
                     22,                0.86392,                 1.2752,                 1.2766,                0.04539,                0.33333,                0.03108,                0.00909,                  1.932,                 22.596,                 2.6965,              0.0011461,              0.0011461,              0.0011461
                     23,                0.83365,                 1.1436,                  1.243,                0.05158,                0.53333,                0.05588,                0.02557,                 1.5082,                 29.071,                 2.2326,              0.0011319,              0.0011319,              0.0011319
                     24,                0.81633,                 1.1701,                 1.1388,                0.08898,                    0.2,                0.07077,                0.03646,                 1.2768,                  30.05,                 1.8181,              0.0011178,              0.0011178,              0.0011178
                     25,                0.93664,                 1.2648,                 1.2074,                0.30685,                0.66667,                0.39775,                0.28095,                0.93272,                 36.588,                 1.4587,              0.0011036,              0.0011036,              0.0011036
                     26,                0.86314,                 1.1838,                 1.1638,                0.19364,                0.26667,                 0.2341,                0.13168,                 1.1213,                 18.107,                 1.6475,              0.0010895,              0.0010895,              0.0010895
                     27,                0.78149,                 1.1214,                 1.1918,                0.07652,                    0.2,                0.09489,                0.04881,                 1.1377,                  12.61,                 1.7621,              0.0010753,              0.0010753,              0.0010753
                     28,                0.75458,                0.95104,                 1.1494,                 0.2454,                0.33333,                0.16193,                0.09912,                 1.0154,                 11.048,                 1.6921,              0.0010612,              0.0010612,              0.0010612
                     29,                0.72655,                0.91768,                 1.0987,                0.09276,                0.66667,                0.07848,                0.04614,                 1.1346,                 11.557,                 1.8819,               0.001047,               0.001047,               0.001047
                     30,                0.71044,                0.87249,                 1.0504,                0.09276,                0.66667,                0.07848,                0.04614,                 1.1346,                 11.557,                 1.8819,              0.0010329,              0.0010329,              0.0010329
                     31,                0.65022,                0.78421,                 1.0708,                0.44737,                0.06667,                0.09532,                0.04765,                 1.4002,                 10.384,                 2.3697,              0.0010187,              0.0010187,              0.0010187
                     32,                0.70539,                0.86163,                 1.0881,                0.06159,                0.06667,                0.03996,                0.01941,                 1.3539,                 10.573,                 2.2117,              0.0010046,              0.0010046,              0.0010046
                     33,                0.81755,                0.98434,                 1.1869,                0.49118,                0.06667,                0.08578,                0.01544,                  1.356,                 14.425,                 2.3445,             0.00099044,             0.00099044,             0.00099044
                     34,                0.79232,                0.89205,                 1.1475,                0.80083,                0.06667,                0.10719,                0.03573,                 1.2345,                 11.984,                 2.0831,             0.00097629,             0.00097629,             0.00097629
                     35,                0.69328,                0.78006,                 1.0773,                0.01521,                0.13333,                0.02861,                0.01283,                 1.2413,                  11.75,                 1.8782,             0.00096215,             0.00096215,             0.00096215
                     36,                0.69352,                0.73671,                 1.1281,                0.01672,                0.66667,                0.02109,                0.00662,                 1.5813,                 12.517,                 2.1252,               0.000948,               0.000948,               0.000948
                     37,                0.73514,                0.81892,                 1.1634,                0.10502,                0.06667,                 0.0372,                0.01885,                 1.0965,                 6.8539,                  1.641,             0.00093385,             0.00093385,             0.00093385
                     38,                0.62585,                0.88963,                 1.0658,                0.10502,                0.06667,                 0.0372,                0.01885,                 1.0965,                 6.8539,                  1.641,              0.0009197,              0.0009197,              0.0009197
                     39,                0.66024,                0.86026,                 1.0825,                 0.8048,                0.06667,                0.13119,                 0.0399,                 1.1922,                    5.2,                 1.7657,             0.00090556,             0.00090556,             0.00090556
                     40,                0.71645,                0.81018,                 1.1121,                0.10827,                0.06667,                0.08981,                0.04453,                 1.2509,                 5.1588,                 1.8274,             0.00089141,             0.00089141,             0.00089141
                     41,                0.67923,                0.79736,                 1.0918,                0.05054,                0.93333,                0.12873,                0.07344,                 1.0708,                 5.5773,                 1.7471,             0.00087726,             0.00087726,             0.00087726
                     42,                0.69216,                0.80367,                 1.1511,                0.07879,                0.86667,                0.17363,                0.09484,                0.98601,                 6.2868,                 1.6614,             0.00086312,             0.00086312,             0.00086312
                     43,                0.62172,                0.84268,                 1.0792,                0.09353,                0.86667,                   0.28,                0.14274,                 1.0377,                 5.8704,                  1.669,             0.00084897,             0.00084897,             0.00084897
                     44,                0.67888,                0.82899,                 1.1413,                0.13725,                0.93333,                 0.2422,                0.14068,                 1.0579,                  6.738,                 1.7396,             0.00083482,             0.00083482,             0.00083482
                     45,                0.59789,                0.70971,                 1.0244,                0.10588,                    0.6,                0.11403,                0.05547,                 1.1104,                  7.222,                 1.7517,             0.00082067,             0.00082067,             0.00082067
                     46,                0.56571,                0.73481,                 1.0449,                0.10588,                    0.6,                0.11403,                0.05547,                 1.1104,                  7.222,                 1.7517,             0.00080653,             0.00080653,             0.00080653
                     47,                0.60128,                0.67422,                 1.0645,                 0.0885,                0.66667,                 0.1758,                0.13733,                 1.0007,                  6.566,                 1.4845,             0.00079238,             0.00079238,             0.00079238
                     48,                0.70348,                0.78338,                 1.1277,                0.08759,                    0.8,                0.23019,                0.17468,                  0.956,                 5.5423,                 1.4282,             0.00077823,             0.00077823,             0.00077823
                     49,                0.63314,                0.68169,                 1.0963,                0.22383,                    0.6,                0.28592,                0.19404,                0.94139,                 4.6587,                 1.3843,             0.00076409,             0.00076409,             0.00076409
                     50,                0.61558,                0.67078,                 1.0643,                0.34431,                0.42085,                0.31004,                0.23527,                0.89554,                  4.376,                 1.3245,             0.00074994,             0.00074994,             0.00074994
                     51,                0.61514,                0.62327,                 1.0659,                0.37817,                0.44678,                0.31026,                0.23146,                0.84006,                 5.0128,                 1.2939,             0.00073579,             0.00073579,             0.00073579
                     52,                 0.6189,                0.65256,                 1.1003,                0.32292,                0.38231,                0.24872,                0.19481,                0.82881,                 5.3751,                 1.2399,             0.00072164,             0.00072164,             0.00072164
                     53,                0.59874,                0.64613,                 1.0681,                0.20199,                0.26667,                 0.2164,                0.17234,                 0.8513,                 5.0395,                 1.2729,              0.0007075,              0.0007075,              0.0007075
                     54,                0.57295,                0.58194,                 1.0497,                0.20199,                0.26667,                 0.2164,                0.17234,                 0.8513,                 5.0395,                 1.2729,             0.00069335,             0.00069335,             0.00069335
                     55,                0.58549,                0.63238,                 1.0486,                0.19776,                0.24726,                0.22244,                0.17121,                0.91014,                 4.5499,                 1.3003,              0.0006792,              0.0006792,              0.0006792
                     56,                0.59255,                 0.5872,                  1.038,                0.16614,                0.73333,                0.17128,                0.11364,                 0.9209,                 4.4359,                 1.3337,             0.00066506,             0.00066506,             0.00066506
                     57,                0.65993,                0.65896,                 1.1073,                0.24482,                0.46667,                0.20772,                0.15311,                0.94585,                  3.931,                  1.356,             0.00065091,             0.00065091,             0.00065091
                     58,                0.66035,                 0.6956,                 1.0806,                0.27547,                0.26667,                 0.3308,                0.20489,                0.99052,                 3.8229,                 1.4239,             0.00063676,             0.00063676,             0.00063676
                     59,                0.58496,                0.63332,                 1.0317,                 0.3191,                    0.4,                0.28497,                0.17421,                 0.9858,                 4.4703,                 1.4915,             0.00062262,             0.00062262,             0.00062262
                     60,                0.55557,                0.62629,                 1.0351,                0.21338,                    0.6,                0.24138,                0.16256,                0.83913,                 5.8469,                 1.4125,             0.00060847,             0.00060847,             0.00060847
                     61,                0.53496,                0.59487,                 1.0168,                0.10569,                0.86667,                0.20684,                0.14343,                 0.8715,                 6.4365,                 1.4773,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.4814,                0.44687,                0.97404,                0.10569,                0.86667,                0.20684,                0.14343,                 0.8715,                 6.4365,                 1.4773,             0.00058017,             0.00058017,             0.00058017
                     63,                0.52688,                0.53704,                 1.0258,                0.10084,                    0.8,                0.18708,                0.09588,                0.84475,                 6.7032,                 1.3932,             0.00056603,             0.00056603,             0.00056603
