                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63898,                 2.9318,                 1.0969,                 0.4133,                0.94444,                0.48368,                0.47888,                0.23163,                 7.2225,                0.82894,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                0.46774,                 2.2637,                0.97304,                0.58653,                0.98432,                0.79117,                0.79117,                0.25347,                 4.0178,                0.84021,             0.00018155,             0.00018155,             0.00018155
                      3,                0.44626,                   1.39,                0.95337,                0.62333,                      1,                 0.9475,                0.87654,                0.34589,                 4.8288,                0.87098,             0.00027778,             0.00027778,             0.00027778
                      4,                0.50209,                 1.3856,                0.98189,                0.93783,                0.84352,                0.95057,                0.85747,                0.38282,                 3.0249,                0.88559,             0.00037202,             0.00037202,             0.00037202
                      5,                 0.6285,                    1.3,                 1.0184,                0.82558,                0.94444,                0.97094,                0.69765,                0.66406,                 3.9684,                  1.062,             0.00046429,             0.00046429,             0.00046429
                      6,                0.56152,                 1.2896,                 1.0106,                 0.5793,                0.66611,                0.69024,                0.58303,                0.62214,                 4.8276,                 1.0807,             0.00055457,             0.00055457,             0.00055457
                      7,                0.56257,                 1.1255,                 0.9939,                0.19167,                0.47222,                0.26177,                 0.1938,                 1.4236,                 7.1203,                 1.7431,             0.00064287,             0.00064287,             0.00064287
                      8,                0.64617,                 1.3888,                 1.1018,                0.32292,                0.69444,                0.26505,                 0.2061,                  1.536,                 76.225,                 3.1897,             0.00072919,             0.00072919,             0.00072919
                      9,                0.61726,                 1.4596,                 1.0778,                 0.3085,                   0.75,                0.24059,                0.17538,                 1.2571,                 144.62,                 3.3428,             0.00081354,             0.00081354,             0.00081354
                     10,                0.82163,                  1.841,                 1.2097,                0.45833,                    0.5,                0.35014,                0.21547,                 1.2551,                 31.582,                 2.5309,              0.0008959,              0.0008959,              0.0008959
                     11,                 0.7221,                 1.3457,                 1.1408,                  0.063,                0.19444,                0.03597,                0.01213,                 3.1198,                 90.597,                 11.045,             0.00097628,             0.00097628,             0.00097628
